"ID","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","step"
"sa22068.00","baseline",0,"9006","PET",95.79,-0.18,0.96,1.68,1.4,0
"sa22068.00","baseline",0,"9006","PET",95.72,-0.19,0.99,1.73,4.5,0
"sa22068.01","mASTMG154",1,"9006","PET",95.65,-0.55,1.98,3.32,1.9,1
"sa22068.01","mASTMG154",1,"9006","PET",95.81,-0.17,0.95,1.67,2.1,0
"sa22068.02","mASTMG154",2,"9006","PET",95.71,-0.69,2.43,4.07,4.4,2
"sa22068.02","mASTMG154",2,"9006","PET",95.78,-0.17,0.96,1.68,2.2,0
"sa22068.02","mASTMG154",2,"9006","PET",95.75,-0.56,2.03,3.41,2.8,1
"sa22068.03","mASTMG154",3,"9006","PET",95.15,-0.74,2.97,5.06,10.4,3
"sa22068.03","mASTMG154",3,"9006","PET",95.82,-0.19,0.95,1.65,2.1,0
"sa22068.03","mASTMG154",3,"9006","PET",95.7,-0.51,1.93,3.26,2.1,1
"sa22068.03","mASTMG154",3,"9006","PET",95.3,-0.66,2.49,4.22,4.1,2
"sa22068.04","mASTMG154",4,"9006","PET",94.77,-0.71,3.13,5.41,12.4,3
"sa22068.04","mASTMG154",4,"9006","PET",95.82,-0.17,0.94,1.65,1.7,0
"sa22068.04","mASTMG154",4,"9006","PET",95.71,-0.53,1.95,3.28,2,1
"sa22068.04","mASTMG154",4,"9006","PET",94.21,-0.6,3.36,5.93,18.1,4
"sa22068.04","mASTMG154",4,"9006","PET",95.56,-0.62,2.39,4.05,2.7,2
"sa22068.05","mASTMG154",4,"9006","PET",95.63,-0.53,1.98,3.33,2.3,1
"sa22068.05","mASTMG154",4,"9006","PET",95.79,-0.17,0.94,1.64,1.5,0
"sa22068.05","mASTMG154",4,"9006","PET",95.56,-0.62,2.4,4.07,2.4,2
"sa22068.05","mASTMG154",4,"9006","PET",95.06,-0.67,2.93,5.04,9.4,3
"sa22068.06","ASTMG154",1,"9006","PET",95.82,-0.17,0.95,1.66,1.7,0
"sa22068.06","ASTMG154",1,"9006","PET",94.99,-0.44,1.63,2.77,5.9,1
"sa22068.07","ASTMG154",2,"9006","PET",94.75,-0.34,1.65,2.88,13.1,2
"sa22068.07","ASTMG154",2,"9006","PET",95.56,-0.35,1.36,2.3,4.6,1
"sa22068.07","ASTMG154",2,"9006","PET",95.79,-0.18,0.97,1.69,3,0
"sa22068.08","ASTMG154",3,"9006","PET",95.79,-0.18,0.96,1.68,1.7,0
"sa22068.08","ASTMG154",3,"9006","PET",90.19,-0.46,3.55,6.64,75.2,3
"sa22068.08","ASTMG154",3,"9006","PET",95.62,-0.35,1.38,2.34,3.9,1
"sa22068.08","ASTMG154",3,"9006","PET",93.1,-0.49,2.17,3.8,27,2
"sa22068.09","ASTMG154",4,"9006","PET",95.69,-0.25,1.14,1.96,5.3,1
"sa22068.09","ASTMG154",4,"9006","PET",92.33,-0.39,3.31,6.11,53.6,2
"sa22068.09","ASTMG154",4,"9006","PET",89.07,-0.35,2.77,5.27,89.4,4
"sa22068.09","ASTMG154",4,"9006","PET",90.68,-0.5,4.15,7.74,68.5,3
"sa22068.09","ASTMG154",4,"9006","PET",95.8,-0.18,0.96,1.68,1.6,0
"sa22069.00","ASTMG154",4,"9006","PET",95.82,-0.17,0.96,1.67,1.4,0
"sa22069.00","ASTMG154",4,"9006","PET",87.89,-0.51,3.23,6.1,93.4,4
"sa22069.00","ASTMG154",4,"9006","PET",94.69,-0.44,1.73,2.95,15.1,2
"sa22069.00","ASTMG154",4,"9006","PET",95.68,-0.34,1.32,2.23,2.4,1
"sa22069.00","ASTMG154",4,"9006","PET",91.53,-0.42,2.11,3.82,68.6,3
"sa22069.01","HF",1,"9006","PET",95.84,-0.18,0.96,1.67,1.8,0
"sa22069.01","HF",1,"9006","PET",95.7,-0.2,1.03,1.78,4.4,1
"sa22069.02","HF",2,"9006","PET",95.86,-0.18,0.94,1.64,2.2,0
"sa22069.02","HF",2,"9006","PET",95.67,-0.2,1.06,1.85,4.9,1
"sa22069.02","HF",2,"9006","PET",95.79,-0.21,1.17,2.05,6.4,2
"sa22069.03","HF",3,"9006","PET",95.8,-0.21,1.12,1.95,5.9,2
"sa22069.03","HF",3,"9006","PET",95.45,-0.27,1.42,2.48,6.1,3
"sa22069.03","HF",3,"9006","PET",95.71,-0.21,1.03,1.79,3.3,1
"sa22069.03","HF",3,"9006","PET",95.82,-0.17,0.92,1.61,1.8,0
"sa22069.04","HF",4,"9006","PET",95.56,-0.24,1.24,2.16,4.3,3
"sa22069.04","HF",4,"9006","PET",95.84,-0.21,1.15,2.01,4.1,2
"sa22069.04","HF",4,"9006","PET",95.76,-0.17,0.96,1.67,1,0
"sa22069.04","HF",4,"9006","PET",95.74,-0.23,1.04,1.78,4.3,1
"sa22069.05","HF",4,"9006","PET",95.74,-0.22,1.02,1.77,3.3,1
"sa22069.05","HF",4,"9006","PET",95.79,-0.21,1.14,1.99,5.7,2
"sa22069.05","HF",4,"9006","PET",95.11,-0.23,1.8,3.24,5.9,4
"sa22069.05","HF",4,"9006","PET",95.55,-0.25,1.26,2.19,4.8,3
"sa22069.05","HF",4,"9006","PET",95.81,-0.18,0.94,1.64,1.7,0
"sa22069.06","ASTMG155",1,"9006","PET",95.8,-0.18,0.93,1.62,1.9,0
"sa22069.06","ASTMG155",1,"9006","PET",94.94,-0.22,1.45,2.6,36.3,1
"sa22069.07","ASTMG155",2,"9006","PET",93.18,-0.41,1.47,2.53,23.3,1
"sa22069.07","ASTMG155",2,"9006","PET",95.8,-0.18,0.93,1.62,1.4,0
"sa22069.07","ASTMG155",2,"9006","PET",92.67,-0.36,1.77,3.16,60.2,2
"sa22069.08","ASTMG155",3,"9006","PET",95.83,-0.18,0.93,1.62,1.3,0
"sa22069.08","ASTMG155",3,"9006","PET",93.84,-0.28,1.75,3.14,88.1,3
"sa22069.08","ASTMG155",3,"9006","PET",93.7,-0.39,1.5,2.58,23.7,1
"sa22069.08","ASTMG155",3,"9006","PET",92.53,-0.33,1.8,3.25,65.8,2
"sa22069.09","ASTMG155",4,"9006","PET",95.84,-0.2,0.91,1.57,1.2,0
"sa22069.09","ASTMG155",4,"9006","PET",94.11,-0.31,1.71,3.04,87.2,3
"sa22069.09","ASTMG155",4,"9006","PET",91.47,-0.4,1.86,3.34,81,2
"sa22069.09","ASTMG155",4,"9006","PET",92.53,-0.34,1.94,3.51,97.4,4
"sa22069.09","ASTMG155",4,"9006","PET",95.6,-0.52,0.98,1.46,5.6,1
"sa22070.00","ASTMG155",4,"9006","PET",95.79,-0.2,0.95,1.64,3.4,0
"sa22070.00","ASTMG155",4,"9006","PET",89.19,-0.31,2.64,5.04,93.1,3
"sa22070.00","ASTMG155",4,"9006","PET",94.21,-0.44,1.66,2.84,37.2,1
"sa22070.00","ASTMG155",4,"9006","PET",90.48,-0.34,2.16,4,86.9,2
"sa22070.01","1x",1,"9006","PET",95.2,-0.18,1.23,2.19,7.2,1
"sa22070.01","1x",1,"9006","PET",95.76,-0.18,0.96,1.68,1.8,0
"sa22070.02","1x",2,"9006","PET",95.79,-0.18,0.96,1.67,2.1,0
"sa22070.02","1x",2,"9006","PET",95.44,-0.18,1.15,2.04,5.9,1
"sa22070.02","1x",2,"9006","PET",95.4,-0.2,1.2,2.12,5.6,2
"sa22070.03","1x",3,"9006","PET",95.83,-0.19,0.95,1.65,1.1,0
"sa22070.03","1x",3,"9006","PET",95.29,-0.19,1.21,2.15,6,2
"sa22070.03","1x",3,"9006","PET",95.17,-0.15,1.42,2.58,6.2,3
"sa22070.03","1x",3,"9006","PET",95.15,-0.15,1.22,2.2,7.6,1
"sa22070.04","1x",4,"9006","PET",95.81,-0.17,0.93,1.63,2.1,0
"sa22070.04","1x",4,"9006","PET",95.37,-0.19,1.18,2.09,5.9,2
"sa22070.04","1x",4,"9006","PET",96.03,-0.18,1.11,1.96,3.1,1
"sa22070.04","1x",4,"9006","PET",94.97,-0.2,1.48,2.67,6.7,3
"sa22070.05","5x",1,"9006","PET",95.4,-0.17,1.18,2.11,6.4,1
"sa22070.05","5x",1,"9006","PET",95.8,-0.17,0.95,1.67,2.1,0
"sa22070.06","5x",2,"9006","PET",95.35,-0.18,1.15,2.04,6.7,1
"sa22070.06","5x",2,"9006","PET",95.81,-0.2,0.94,1.63,1.9,0
"sa22070.06","5x",2,"9006","PET",94.88,-0.22,1.27,2.25,5.3,2
"sa22070.07","5x",3,"9006","PET",94.49,-0.16,1.66,3.05,24.9,3
"sa22070.07","5x",3,"9006","PET",95.48,-0.19,1.09,1.91,8,1
"sa22070.07","5x",3,"9006","PET",95.47,-0.19,1.17,2.08,5.4,2
"sa22070.07","5x",3,"9006","PET",95.78,-0.18,0.95,1.65,1.9,0
"sa22070.08","5x",4,"9006","PET",95.1,-0.24,1.46,2.6,5.4,3
"sa22070.08","5x",4,"9006","PET",95.8,-0.18,0.93,1.62,2.6,0
"sa22070.08","5x",4,"9006","PET",95.2,-0.18,1.29,2.32,7.4,2
"sa22070.08","5x",4,"9006","PET",95.28,-0.16,1.19,2.14,7.2,1
"sa22070.09","baseline",0,"9006","PET",95.82,-0.18,0.93,1.62,1.6,0
"sa22070.09","baseline",0,"9006","PET",95.78,-0.19,0.98,1.69,3.4,0
"sa22071.00","baseline",0,"9006","TPU",96.65,-0.03,0.36,0.65,3,0
"sa22071.00","baseline",0,"9006","TPU",96.71,-0.03,0.33,0.57,2.2,0
"sa22071.01","mASTMG154",1,"9006","TPU",96.51,-0.03,0.74,1.37,2.9,1
"sa22071.01","mASTMG154",1,"9006","TPU",96.7,-0.03,0.34,0.61,2.9,0
"sa22071.02","mASTMG154",2,"9006","TPU",96.78,-0.03,0.33,0.58,3.1,0
"sa22071.02","mASTMG154",2,"9006","TPU",96.66,-0.04,0.8,1.46,2,1
"sa22071.03","mASTMG154",3,"9006","TPU",96.59,-0.01,0.54,0.99,2.8,2
"sa22071.03","mASTMG154",3,"9006","TPU",96.74,-0.04,0.33,0.57,3,0
"sa22071.03","mASTMG154",3,"9006","TPU",96.59,-0.05,0.83,1.52,1.8,1
"sa22071.03","mASTMG154",3,"9006","TPU",96.53,0.01,0.38,0.71,4.2,3
"sa22071.04","mASTMG154",4,"9006","TPU",96.28,-0.01,0.5,0.92,5.8,4
"sa22071.04","mASTMG154",4,"9006","TPU",96.51,-0.05,0.71,1.29,2.3,1
"sa22071.04","mASTMG154",4,"9006","TPU",96.52,-0.02,0.46,0.85,4,2
"sa22071.04","mASTMG154",4,"9006","TPU",96.71,-0.03,0.36,0.63,2.9,0
"sa22071.04","mASTMG154",4,"9006","TPU",96.55,0.02,0.35,0.67,3.8,3
"sa22071.04","mASTMG154",4,"9006","TPU",96.58,0.03,0.3,0.57,4.4,3
"sa22071.05","mASTMG154",4,"9006","TPU",95.9,-0.56,3.02,5.25,7.2,4
"sa22071.05","mASTMG154",4,"9006","TPU",96.55,-0.02,0.62,1.14,3.4,2
"sa22071.05","mASTMG154",4,"9006","TPU",96.53,-0.05,0.91,1.66,2.1,1
"sa22071.05","mASTMG154",4,"9006","TPU",96.67,-0.04,0.34,0.59,3.3,0
"sa22071.06","ASTMG154",1,"9006","TPU",96.74,-0.03,0.42,0.76,2.6,0
"sa22071.06","ASTMG154",1,"9006","TPU",96.36,-0.03,0.58,1.07,7.8,1
"sa22071.07","ASTMG154",2,"9006","TPU",96.53,-0.04,0.53,0.95,6.7,1
"sa22071.07","ASTMG154",2,"9006","TPU",96.74,-0.02,0.35,0.62,3.2,0
"sa22071.07","ASTMG154",2,"9006","TPU",96.35,-0.01,0.62,1.16,12.8,2
"sa22071.08","ASTMG154",3,"9006","TPU",96.6,0,0.46,0.86,4.3,2
"sa22071.08","ASTMG154",3,"9006","TPU",96.61,-0.03,0.49,0.89,2.6,1
"sa22071.08","ASTMG154",3,"9006","TPU",95.95,-0.08,0.87,1.57,11.5,3
"sa22071.08","ASTMG154",3,"9006","TPU",96.8,-0.05,0.34,0.58,2.1,0
"sa22071.09","ASTMG154",4,"9006","TPU",96.1,-0.02,0.75,1.4,18.9,1
"sa22071.09","ASTMG154",4,"9006","TPU",95.8,0.06,0.56,1.1,20.8,3
"sa22071.09","ASTMG154",4,"9006","TPU",96.82,-0.03,0.3,0.53,1.5,0
"sa22071.09","ASTMG154",4,"9006","TPU",96.1,0.02,0.66,1.25,18.3,2
"sa22072.00","ASTMG154",4,"9006","TPU",96.73,-0.04,0.36,0.62,1.8,0
"sa22072.00","ASTMG154",4,"9006","TPU",96.01,0.01,0.83,1.57,24.5,1
"sa22072.01","HF",1,"9006","TPU",96.64,-0.21,0.81,1.35,2.3,1
"sa22072.01","HF",1,"9006","TPU",96.71,-0.03,0.37,0.67,3.3,0
"sa22072.02","HF",2,"9006","TPU",96.72,-0.19,0.78,1.32,1.2,1
"sa22072.02","HF",2,"9006","TPU",96.76,-0.03,0.35,0.63,2.3,0
"sa22072.02","HF",2,"9006","TPU",96.85,-0.29,1.1,1.83,2.2,2
"sa22072.03","HF",3,"9006","TPU",96.79,-0.04,0.33,0.58,2.1,0
"sa22072.03","HF",3,"9006","TPU",96.76,-0.21,1.1,1.9,2.6,2
"sa22072.03","HF",3,"9006","TPU",96.71,-0.21,0.74,1.23,1.9,1
"sa22072.04","HF",4,"9006","TPU",96.76,-0.29,1.09,1.83,3.1,2
"sa22072.04","HF",4,"9006","TPU",96.78,-0.05,0.36,0.62,1.8,0
"sa22072.04","HF",4,"9006","TPU",96.67,-0.21,0.81,1.36,2.6,1
"sa22072.05","HF",4,"9006","TPU",96.84,-0.29,1.1,1.85,2.4,2
"sa22072.05","HF",4,"9006","TPU",96.74,-0.05,0.34,0.59,2.9,0
"sa22072.05","HF",4,"9006","TPU",96.68,-0.22,0.83,1.38,2.1,1
"sa22072.06","ASTMG155",1,"9006","TPU",95.64,-0.03,0.46,0.84,14.6,1
"sa22072.06","ASTMG155",1,"9006","TPU",96.7,-0.04,0.37,0.65,2.8,0
"sa22072.07","ASTMG155",2,"9006","TPU",96.79,-0.03,0.33,0.58,1.4,0
"sa22072.07","ASTMG155",2,"9006","TPU",95.75,-0.03,0.54,0.99,15.6,1
"sa22072.07","ASTMG155",2,"9006","TPU",96.21,0.01,0.51,0.96,16.1,2
"sa22072.08","ASTMG155",3,"9006","TPU",95.76,-0.07,0.58,1.04,14.9,1
"sa22072.08","ASTMG155",3,"9006","TPU",96.76,-0.05,0.37,0.64,2.7,0
"sa22072.08","ASTMG155",3,"9006","TPU",96.02,-0.02,0.4,0.74,16.5,3
"sa22072.08","ASTMG155",3,"9006","TPU",96.02,-0.01,0.53,0.98,14.4,2
"sa22072.09","ASTMG155",4,"9006","TPU",96.26,-0.03,0.5,0.91,18.5,1
"sa22072.09","ASTMG155",4,"9006","TPU",96.74,-0.05,0.37,0.64,3.2,0
"sa22072.09","ASTMG155",4,"9006","TPU",96.16,-0.02,0.52,0.96,18.3,2
"sa22072.09","ASTMG155",4,"9006","TPU",96.03,0.01,0.46,0.86,19.8,3
"sa22072.09","ASTMG155",4,"9006","TPU",96.12,0.08,0.42,0.84,24.7,4
"sa22073.00","ASTMG155",4,"9006","TPU",96.21,0,0.49,0.92,32.1,2
"sa22073.00","ASTMG155",4,"9006","TPU",96.74,-0.05,0.37,0.64,2.6,0
"sa22073.00","ASTMG155",4,"9006","TPU",96.19,-0.05,0.5,0.9,19.2,1
"sa22073.00","ASTMG155",4,"9006","TPU",96.25,0.06,0.35,0.7,22.3,4
"sa22073.01","1x",1,"9006","TPU",96.01,-0.02,0.7,1.3,7.5,1
"sa22073.01","1x",1,"9006","TPU",96.71,-0.05,0.36,0.63,2.9,0
"sa22073.02","1x",2,"9006","TPU",95.96,-0.05,0.69,1.26,7,1
"sa22073.02","1x",2,"9006","TPU",96.7,-0.04,0.36,0.62,4.3,0
"sa22073.02","1x",2,"9006","TPU",95.19,0.03,1.11,2.12,14.1,2
"sa22073.03","1x",3,"9006","TPU",94.85,0.03,1.23,2.37,19,2
"sa22073.03","1x",3,"9006","TPU",96.18,-0.05,0.72,1.31,5.9,1
"sa22073.03","1x",3,"9006","TPU",95.23,0,1.27,2.42,11.8,3
"sa22073.03","1x",3,"9006","TPU",96.7,-0.04,0.36,0.63,3,0
"sa22073.04","1x",4,"9006","TPU",96.11,-0.05,0.64,1.16,6.8,1
"sa22073.04","1x",4,"9006","TPU",96.66,-0.03,0.36,0.64,3,0
"sa22073.04","1x",4,"9006","TPU",96.19,-0.01,0.76,1.42,6,2
"sa22073.04","1x",4,"9006","TPU",95.5,0,1.17,2.21,8.9,3
"sa22073.05","5x",1,"9006","TPU",96.74,-0.04,0.36,0.63,2.9,0
"sa22073.05","5x",1,"9006","TPU",96.04,-0.01,0.71,1.32,7.9,1
"sa22073.06","5x",2,"9006","TPU",96.1,-0.04,0.7,1.28,7.4,1
"sa22073.06","5x",2,"9006","TPU",96.76,-0.05,0.36,0.63,2.5,0
"sa22073.06","5x",2,"9006","TPU",94.63,0,0.81,1.55,6.5,2
"sa22073.07","5x",3,"9006","TPU",96.78,-0.04,0.33,0.57,2.5,0
"sa22073.07","5x",3,"9006","TPU",96.22,-0.04,0.65,1.18,6.8,1
"sa22073.07","5x",3,"9006","TPU",94.83,0.02,1.31,2.51,7.8,3
"sa22073.08","5x",4,"9006","TPU",95.4,0,0.99,1.87,7.9,3
"sa22073.08","5x",4,"9006","TPU",96.14,-0.02,0.71,1.32,7.3,1
"sa22073.08","5x",4,"9006","TPU",96.75,-0.04,0.33,0.58,3.5,0
"sa22073.08","5x",4,"9006","TPU",96.02,-0.02,0.82,1.52,7,2
"sa22073.09","baseline",0,"9006","TPU",96.65,-0.04,0.35,0.62,4.4,0
"sa22073.09","baseline",0,"9006","TPU",96.59,-0.02,0.4,0.72,3.8,0
"sa22074.00","baseline",0,"9013","PET",95.78,-0.18,0.97,1.69,1.9,0
"sa22074.00","baseline",0,"9013","PET",95.87,-0.17,0.94,1.65,4.2,0
"sa22074.01","mASTMG154",1,"9013","PET",95.67,-0.53,2.03,3.42,1.4,1
"sa22074.01","mASTMG154",1,"9013","PET",95.8,-0.17,0.96,1.68,2.2,0
"sa22074.02","mASTMG154",2,"9013","PET",95.81,-0.17,0.95,1.66,1.5,0
"sa22074.02","mASTMG154",2,"9013","PET",95.61,-0.52,2.02,3.43,1.7,1
"sa22074.03","mASTMG154",3,"9013","PET",94.98,-0.74,3.32,5.71,11.5,3
"sa22074.03","mASTMG154",3,"9013","PET",95.63,-0.61,2.33,3.93,1.7,2
"sa22074.03","mASTMG154",3,"9013","PET",95.67,-0.51,1.91,3.23,1.3,1
"sa22074.03","mASTMG154",3,"9013","PET",95.78,-0.18,0.96,1.68,1.1,0
"sa22074.04","mASTMG154",4,"9013","PET",95.09,-0.81,3.68,6.32,5.1,3
"sa22074.04","mASTMG154",4,"9013","PET",95.59,-0.54,2,3.38,1.6,1
"sa22074.04","mASTMG154",4,"9013","PET",95.51,-0.7,2.78,4.71,1.8,2
"sa22074.04","mASTMG154",4,"9013","PET",94.2,-0.73,4.12,7.26,35.9,4
"sa22074.04","mASTMG154",4,"9013","PET",95.84,-0.18,0.96,1.68,1.6,0
"sa22074.05","mASTMG154",4,"9013","PET",95.68,-0.52,1.97,3.32,1,1
"sa22074.05","mASTMG154",4,"9013","PET",95.84,-0.19,0.96,1.67,1,0
"sa22074.05","mASTMG154",4,"9013","PET",95.29,-0.73,3.09,5.27,4.5,3
"sa22074.05","mASTMG154",4,"9013","PET",95.37,-0.66,2.56,4.34,3.7,2
"sa22074.06","ASTMG154",1,"9013","PET",95.63,-0.34,1.33,2.25,2,1
"sa22074.06","ASTMG154",1,"9013","PET",95.84,-0.16,0.94,1.65,1.1,0
"sa22074.07","ASTMG154",2,"9013","PET",95.57,-0.32,1.29,2.2,2.6,1
"sa22074.07","ASTMG154",2,"9013","PET",95.68,-0.11,1.52,2.8,7,2
"sa22074.07","ASTMG154",2,"9013","PET",95.8,-0.17,0.96,1.68,1.3,0
"sa22074.08","ASTMG154",3,"9013","PET",92.28,-0.4,2.34,4.25,68.6,3
"sa22074.08","ASTMG154",3,"9013","PET",96.8,-0.42,1.52,2.54,5.6,1
"sa22074.08","ASTMG154",3,"9013","PET",95.78,-0.18,0.98,1.71,2.1,0
"sa22074.08","ASTMG154",3,"9013","PET",95.76,-0.74,2.43,4.01,17.3,2
"sa22074.09","ASTMG154",4,"9013","PET",91.09,-0.43,2.27,4.13,88.5,4
"sa22074.09","ASTMG154",4,"9013","PET",95.84,-0.21,0.96,1.65,0.9,0
"sa22074.09","ASTMG154",4,"9013","PET",95.72,-0.31,1.2,2.04,3.3,1
"sa22074.09","ASTMG154",4,"9013","PET",95.13,-0.33,1.61,2.81,15.8,2
"sa22075.00","ASTMG154",4,"9013","PET",91.38,-0.34,2.62,4.87,69.1,3
"sa22075.00","ASTMG154",4,"9013","PET",95.83,-0.16,0.95,1.66,1.2,0
"sa22075.00","ASTMG154",4,"9013","PET",94.87,-0.3,2.11,3.78,26.6,2
"sa22075.00","ASTMG154",4,"9013","PET",95.15,-0.24,1.76,3.16,22.7,1
"sa22075.00","ASTMG154",4,"9013","PET",91.96,-0.35,2.26,4.14,85.4,4
"sa22075.01","HF",1,"9013","PET",94.88,-0.16,1.01,1.8,3.3,0
"sa22075.02","HF",2,"9013","PET",95.84,-0.2,1.07,1.88,2.9,2
"sa22075.02","HF",2,"9013","PET",95.82,-0.17,0.96,1.68,1.5,0
"sa22075.02","HF",2,"9013","PET",95.73,-0.2,1.03,1.8,2,1
"sa22075.03","HF",3,"9013","PET",95.53,-0.25,1.32,2.3,4,3
"sa22075.03","HF",3,"9013","PET",95.74,-0.22,1.04,1.8,2.3,1
"sa22075.03","HF",3,"9013","PET",95.82,-0.17,0.95,1.65,1.7,0
"sa22075.04","HF",4,"9013","PET",95.51,-0.25,1.33,2.32,3.4,3
"sa22075.04","HF",4,"9013","PET",95.4,-0.22,0.94,1.6,1.3,0
"sa22075.04","HF",4,"9013","PET",95.86,-0.21,1.09,1.89,2,2
"sa22075.04","HF",4,"9013","PET",95.68,-0.22,1.03,1.78,2.3,1
"sa22075.04","HF",4,"9013","PET",95.31,-0.24,1.54,2.73,4.9,4
"sa22075.05","HF",4,"9013","PET",95.48,-0.25,1.42,2.49,3.9,4
"sa22075.05","HF",4,"9013","PET",95.85,-0.21,1.08,1.89,2.9,2
"sa22075.05","HF",4,"9013","PET",95.5,-0.25,1.34,2.34,4.8,3
"sa22075.05","HF",4,"9013","PET",95.82,-0.2,0.96,1.65,1.3,0
"sa22075.06","ASTMG155",1,"9013","PET",95.76,-0.18,0.97,1.71,1.6,0
"sa22075.06","ASTMG155",1,"9013","PET",95.88,-0.44,1.54,2.57,1.8,1
"sa22075.07","ASTMG155",2,"9013","PET",95.83,-0.24,0.96,1.63,2.4,0
"sa22075.07","ASTMG155",2,"9013","PET",90.37,-0.41,1.77,3.19,68.7,2
"sa22075.07","ASTMG155",2,"9013","PET",95.63,-0.37,1.06,1.71,2,1
"sa22075.08","ASTMG155",3,"9013","PET",91.67,-0.39,1.8,3.22,74.3,3
