"ID","step","hours","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","ftir.1250.wavenum","ftir.1700.wavenum","ftir.2900.wavenum","ftir.3350.wavenum","dose","doseType"
"sa22082.02",1,2208,"5x",3,"9025","PET",94.94,-0.13,1.34,2.44,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.06",1,2208,"5x",2,"9006","TPU",96.1,-0.04,0.7,1.28,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.05",1,2208,"5x",1,"9013","PET",95.57,-0.17,1.12,1.99,4.3,0.0926899,0.0888,0.0190699,0.0148017,1213.61,1720.67,2930.55,3331.36,NA,"fullSpectrum"
"sa22079.07",1,2208,"5x",3,"9013","TPU",96.08,-0.05,0.65,1.18,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.13",1,2208,"5x",4,"PURE","PET",94.82,-0.16,1.22,2.2,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.08",1,2208,"5x",4,"9006","PET",95.28,-0.16,1.19,2.14,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.01",1,2208,"5x",2,"9025","PET",95.35,-0.15,1.18,2.12,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.08",1,2208,"5x",4,"9025","TPU",96.2,-0.02,0.64,1.19,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.08",1,2208,"5x",4,"9013","TPU",96.13,-0.03,0.77,1.42,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.12",1,2208,"5x",3,"PURE","PET",94.94,-0.17,1.21,2.17,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.06",1,2208,"5x",2,"9013","PET",95.51,-0.18,1.12,1.98,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.07",1,2208,"5x",3,"9013","PET",95.35,-0.16,1.16,2.08,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.05",1,2208,"5x",1,"9013","TPU",95.73,-0.03,0.73,1.35,9.7,0.336155,0.495865,0.0955777,0.0664329,1249.03,1718.81,2928.69,3363.05,NA,"fullSpectrum"
"sa22073.05",1,2208,"5x",1,"9006","TPU",96.04,-0.01,0.71,1.32,7.9,0.28315,0.510183,0.0695706,0.0550827,1213.61,1718.81,2924.96,3387.28,NA,"fullSpectrum"
"sa22089.12",1,2208,"5x",3,"PURE","TPU",95.58,0.01,0.93,1.77,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.00",1,2208,"5x",1,"9025","PET",95.33,-0.17,1.2,2.14,9.6,0.0863067,0.0840582,0.0215221,0.0162465,1213.61,1718.81,2932.42,3348.14,NA,"fullSpectrum"
"sa22076.08",1,2208,"5x",4,"9013","PET",95.21,-0.16,1.28,2.3,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.13",1,2208,"5x",4,"PURE","TPU",96.04,-0.02,0.75,1.39,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.10",1,2208,"5x",1,"PURE","PET",95,-0.17,1.21,2.16,3.5,0.151638,0.110644,0.0214508,0.0213716,1237.84,1713.22,2917.5,3329.49,NA,"fullSpectrum"
"sa22089.10",1,2208,"5x",1,"PURE","TPU",95.94,-0.02,0.79,1.46,9,0.394641,0.403127,0.178856,0.0652662,1226.66,1687.12,2923.09,3322.04,NA,"fullSpectrum"
"sa22087.11",1,2208,"5x",2,"PURE","PET",94.86,-0.16,1.2,2.16,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.11",1,2208,"5x",2,"PURE","TPU",96.16,-0.06,0.75,1.37,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.06",1,2208,"5x",2,"9025","TPU",96.25,-0.02,0.61,1.13,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.05",1,2208,"5x",1,"9025","TPU",96.07,-0.01,0.68,1.26,8.2,0.262766,0.402572,0.0882213,0.0560796,1237.84,1718.81,2923.09,3383.56,NA,"fullSpectrum"
"sa22085.07",1,2208,"5x",3,"9025","TPU",95.8,0,0.7,1.32,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.01",2,4224,"5x",2,"9025","PET",95.2,-0.18,1.33,2.39,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.07",2,4224,"5x",3,"9006","PET",95.47,-0.19,1.17,2.08,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.06",2,4224,"5x",2,"9013","TPU",95.92,-0.03,0.79,1.46,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.06",2,4224,"5x",2,"9025","TPU",96.11,-0.01,0.8,1.49,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.08",2,4224,"5x",4,"9013","TPU",96.1,-0.03,0.82,1.52,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.07",2,4224,"5x",3,"9025","TPU",95.88,-0.01,0.8,1.5,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.07",2,4224,"5x",3,"9013","TPU",96.08,-0.03,0.76,1.41,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.12",2,4224,"5x",3,"PURE","PET",94.84,-0.2,1.27,2.26,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.08",2,4224,"5x",4,"9006","TPU",96.02,-0.02,0.82,1.52,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.11",2,4224,"5x",2,"PURE","PET",94.87,-0.19,1.31,2.35,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.08",2,4224,"5x",4,"9025","TPU",96.11,-0.01,0.8,1.5,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.13",2,4224,"5x",4,"PURE","PET",94.92,-0.19,1.28,2.29,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.02",2,4224,"5x",3,"9025","PET",95.41,-0.19,1.31,2.34,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.06",2,4224,"5x",2,"9006","PET",94.88,-0.22,1.27,2.25,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.11",2,4224,"5x",2,"PURE","TPU",95.08,0.03,1.11,2.14,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.08",2,4224,"5x",4,"9013","PET",95.51,-0.19,1.23,2.18,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.07",2,4224,"5x",3,"9013","PET",95.35,-0.2,1.29,2.3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.12",2,4224,"5x",3,"PURE","TPU",95.12,0.04,1.03,2,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.06",2,4224,"5x",2,"9006","TPU",94.63,0,0.81,1.55,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.08",2,4224,"5x",4,"9006","PET",95.2,-0.18,1.29,2.32,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.06",2,4224,"5x",2,"9013","PET",95.28,-0.19,1.3,2.32,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.07",3,10296,"5x",3,"9006","PET",94.49,-0.16,1.66,3.05,24.9,0.408523,0.36235,0.0572042,0.0487351,1213.61,1733.72,NA,NA,NA,"fullSpectrum"
"sa22079.07",3,10296,"5x",3,"9013","TPU",95.33,-0.01,1.07,2.02,10.1,0.457856,0.484965,0.087569,0.0802105,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22070.08",3,10296,"5x",4,"9006","PET",95.1,-0.24,1.46,2.6,5.4,0.201384,0.185673,0.0391993,0.0312192,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22073.08",3,10296,"5x",4,"9006","TPU",95.4,0,0.99,1.87,7.9,0.439285,0.501018,0.110011,0.0568976,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22087.13",3,10296,"5x",4,"PURE","PET",94.35,-0.17,1.86,3.42,23.6,0.289612,0.258279,0.0448623,0.0387563,1213.61,1735.59,NA,NA,NA,"fullSpectrum"
"sa22087.12",3,10296,"5x",3,"PURE","PET",94.6,-0.2,1.73,3.14,17,0.315616,0.271697,0.0361,0.0332833,1213.61,1733.72,NA,NA,NA,"fullSpectrum"
"sa22082.02",3,10296,"5x",3,"9025","PET",94.81,-0.22,1.62,2.92,7,0.22762,0.202432,0.0498103,0.0335854,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22076.08",3,10296,"5x",4,"9013","PET",95.17,-0.25,1.46,2.58,5,0.245575,0.223374,0.0486909,0.0401099,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22076.07",3,10296,"5x",3,"9013","PET",94.87,-0.22,1.54,2.77,6.1,0.230183,0.196535,0.0437831,0.0341474,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22082.03",3,10296,"5x",4,"9025","PET",95.07,-0.27,1.52,2.68,4.6,0.25446,0.225529,0.0557828,0.0376856,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22089.12",3,10296,"5x",3,"PURE","TPU",94.4,0.08,1.65,3.22,11.6,0.416805,0.42524,0.189067,0.0817689,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22079.08",3,10296,"5x",4,"9013","TPU",95.24,-0.02,1.23,2.33,9.8,0.433152,0.456719,0.0866304,0.0743799,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22085.07",3,10296,"5x",3,"9025","TPU",95.8,-0.03,0.94,1.76,7.9,0.420014,0.41549,0.186885,0.0654654,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22089.13",3,10296,"5x",4,"PURE","TPU",93.88,0.09,1.87,3.66,11.5,0.412552,0.422053,0.188666,0.0791795,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22073.07",3,10296,"5x",3,"9006","TPU",94.83,0.02,1.31,2.51,7.8,0.408365,0.421967,0.182609,0.0739708,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22085.08",3,10296,"5x",4,"9025","TPU",95.72,-0.01,0.92,1.73,8.6,0.386227,0.429098,0.106534,0.0658496,1213.61,1737.45,NA,NA,NA,"fullSpectrum"
"sa22068.07",0,0,"ASTMG154",2,"9006","PET",95.79,-0.18,0.97,1.69,3,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22083.08",0,0,"ASTMG154",3,"9025","TPU",96.81,-0.05,0.38,0.66,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22080.06",0,0,"ASTMG154",1,"9025","PET",95.73,-0.18,0.95,1.66,5.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22083.09",0,0,"ASTMG154",4,"9025","TPU",96.86,-0.03,0.32,0.57,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22077.08",0,0,"ASTMG154",3,"9013","TPU",96.69,-0.11,0.24,0.34,1.9,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22080.07",0,0,"ASTMG154",2,"9025","PET",95.8,-0.19,0.93,1.62,1.9,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22077.07",0,0,"ASTMG154",2,"9013","TPU",96.76,-0.05,0.37,0.65,3,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22071.06",0,0,"ASTMG154",1,"9006","TPU",96.74,-0.03,0.42,0.76,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22071.08",0,0,"ASTMG154",3,"9006","TPU",96.8,-0.05,0.34,0.58,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22068.09",0,0,"ASTMG154",4,"9006","PET",95.8,-0.18,0.96,1.68,1.6,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22088.09",0,0,"ASTMG154",4,"PURE","TPU",96.78,-0.02,0.32,0.56,2,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22074.07",0,0,"ASTMG154",2,"9013","PET",95.8,-0.17,0.96,1.68,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22068.06",0,0,"ASTMG154",1,"9006","PET",95.82,-0.17,0.95,1.66,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22074.06",0,0,"ASTMG154",1,"9013","PET",95.84,-0.16,0.94,1.65,1.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22088.10",0,0,"ASTMG154",4,"PURE","TPU",96.7,-0.02,0.36,0.64,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22080.08",0,0,"ASTMG154",3,"9025","PET",95.76,-0.19,0.95,1.65,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22086.08",0,0,"ASTMG154",3,"PURE","PET",95.06,-0.17,1.04,1.84,1.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22086.10",0,0,"ASTMG154",4,"PURE","PET",94.98,-0.17,1.03,1.83,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22083.07",0,0,"ASTMG154",2,"9025","TPU",96.7,-0.03,0.39,0.69,6.3,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22071.07",0,0,"ASTMG154",2,"9006","TPU",96.74,-0.02,0.35,0.62,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22074.09",0,0,"ASTMG154",4,"9013","PET",95.84,-0.21,0.96,1.65,0.9,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22075.00",0,0,"ASTMG154",4,"9013","PET",95.83,-0.16,0.95,1.66,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22080.10",0,0,"ASTMG154",4,"9025","PET",95.82,-0.18,0.96,1.67,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22068.08",0,0,"ASTMG154",3,"9006","PET",95.79,-0.18,0.96,1.68,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22069.00",0,0,"ASTMG154",4,"9006","PET",95.82,-0.17,0.96,1.67,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22084.00",0,0,"ASTMG154",4,"9025","TPU",96.79,-0.03,0.33,0.59,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22071.09",0,0,"ASTMG154",4,"9006","TPU",96.82,-0.03,0.3,0.53,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22088.06",0,0,"ASTMG154",1,"PURE","TPU",96.79,-0.02,0.31,0.55,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22086.07",0,0,"ASTMG154",2,"PURE","PET",95.08,-0.16,1.03,1.83,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22088.07",0,0,"ASTMG154",2,"PURE","TPU",96.74,-0.03,0.32,0.56,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22088.08",0,0,"ASTMG154",3,"PURE","TPU",96.76,-0.04,0.33,0.58,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22072.00",0,0,"ASTMG154",4,"9006","TPU",96.73,-0.04,0.36,0.62,1.8,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22083.06",0,0,"ASTMG154",1,"9025","TPU",96.78,-0.02,0.36,0.64,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22078.00",0,0,"ASTMG154",4,"9013","TPU",96.75,-0.05,0.38,0.65,3.6,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22086.09",0,0,"ASTMG154",4,"PURE","PET",95.06,-0.17,1.04,1.84,1.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22080.09",0,0,"ASTMG154",4,"9025","PET",95.82,-0.19,0.95,1.65,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22077.06",0,0,"ASTMG154",1,"9013","TPU",96.78,-0.03,0.35,0.63,2.4,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22074.08",0,0,"ASTMG154",3,"9013","PET",95.78,-0.18,0.98,1.71,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22086.06",0,0,"ASTMG154",1,"PURE","PET",95.05,-0.16,1.03,1.84,1.1,NA,NA,NA,NA,NA,NA,NA,NA,0,"uva340"
"sa22086.08",1,981,"ASTMG154",3,"PURE","PET",94,-0.37,1.67,2.93,19.8,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22088.10",1,981,"ASTMG154",4,"PURE","TPU",96.57,-0.04,0.52,0.94,5.1,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22088.09",1,981,"ASTMG154",4,"PURE","TPU",96.5,-0.04,0.57,1.03,5.2,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22080.07",1,981,"ASTMG154",2,"9025","PET",95.81,-0.38,1.37,2.29,1.8,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22068.09",1,981,"ASTMG154",4,"9006","PET",95.69,-0.25,1.14,1.96,5.3,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22080.09",1,981,"ASTMG154",4,"9025","PET",95.42,-0.53,1.45,2.34,10.8,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22071.08",1,981,"ASTMG154",3,"9006","TPU",96.61,-0.03,0.49,0.89,2.6,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22075.00",1,981,"ASTMG154",4,"9013","PET",95.15,-0.24,1.76,3.16,22.7,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22069.00",1,981,"ASTMG154",4,"9006","PET",95.68,-0.34,1.32,2.23,2.4,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22083.09",1,981,"ASTMG154",4,"9025","TPU",96.59,-0.04,0.65,1.17,5.8,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22077.06",1,981,"ASTMG154",1,"9013","TPU",96.23,-0.04,0.83,1.53,12.1,0.370565,0.478793,0.0973356,0.0957006,1213.61,1718.81,2924.96,3364.91,142.8009,"uva340"
"sa22077.07",1,981,"ASTMG154",2,"9013","TPU",96.25,-0.06,0.85,1.55,8.4,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22071.07",1,981,"ASTMG154",2,"9006","TPU",96.53,-0.04,0.53,0.95,6.7,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22071.06",1,981,"ASTMG154",1,"9006","TPU",96.36,-0.03,0.58,1.07,7.8,0.404812,0.413087,0.177733,0.0537841,1226.66,1713.22,2924.96,3322.04,142.8009,"uva340"
"sa22080.06",1,981,"ASTMG154",1,"9025","PET",96.06,-0.28,1.58,2.77,6.8,0.0943826,0.0821264,0.0147849,0.0103812,1213.61,1698.3,2924.96,3335.09,142.8009,"uva340"
"sa22077.08",1,981,"ASTMG154",3,"9013","TPU",96.56,-0.07,0.73,1.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22068.08",1,981,"ASTMG154",3,"9006","PET",95.62,-0.35,1.38,2.34,3.9,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22072.00",1,981,"ASTMG154",4,"9006","TPU",96.01,0.01,0.83,1.57,24.5,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22074.07",1,981,"ASTMG154",2,"9013","PET",95.57,-0.32,1.29,2.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22077.09",1,981,"ASTMG154",4,"9013","TPU",96.04,-0.04,0.85,1.58,12.5,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22088.06",1,981,"ASTMG154",1,"PURE","TPU",96.04,0.09,1.25,2.42,43.9,0.407415,0.406536,0.179206,0.0536714,1226.66,1713.22,2924.96,3323.9,142.8009,"uva340"
"sa22088.07",1,981,"ASTMG154",2,"PURE","TPU",96.59,-0.04,0.5,0.9,4,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22071.09",1,981,"ASTMG154",4,"9006","TPU",96.1,-0.02,0.75,1.4,18.9,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22078.00",1,981,"ASTMG154",4,"9013","TPU",96.3,-0.07,0.86,1.56,5.6,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22074.06",1,981,"ASTMG154",1,"9013","PET",95.63,-0.34,1.33,2.25,2,0.10596,0.104939,0.0156611,0.0134922,1213.61,1713.22,2924.96,3387.28,142.8009,"uva340"
"sa22068.07",1,981,"ASTMG154",2,"9006","PET",95.56,-0.35,1.36,2.3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22074.09",1,981,"ASTMG154",4,"9013","PET",95.72,-0.31,1.2,2.04,3.3,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22086.10",1,981,"ASTMG154",4,"PURE","PET",95.42,-0.34,1.74,3.04,20.4,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22074.08",1,981,"ASTMG154",3,"9013","PET",96.8,-0.42,1.52,2.54,5.6,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22083.08",1,981,"ASTMG154",3,"9025","TPU",96.3,-0.05,0.91,1.67,11.4,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22083.07",1,981,"ASTMG154",2,"9025","TPU",96.14,-0.05,0.98,1.8,15.6,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22080.10",1,981,"ASTMG154",4,"9025","PET",95.87,-0.36,1.33,2.23,2.7,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22088.08",1,981,"ASTMG154",3,"PURE","TPU",96.6,-0.04,0.63,1.15,3.7,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22083.06",1,981,"ASTMG154",1,"9025","TPU",96.3,-0.04,0.67,1.23,11.6,0.34648,0.401096,0.114532,0.0652968,1226.66,1716.94,2924.96,3387.28,142.8009,"uva340"
"sa22086.07",1,981,"ASTMG154",2,"PURE","PET",92.95,-0.29,1.92,3.5,38.9,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22084.00",1,981,"ASTMG154",4,"9025","TPU",96.58,-0.06,0.73,1.32,2.7,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22086.09",1,981,"ASTMG154",4,"PURE","PET",94.58,-0.3,1.85,3.3,28.1,NA,NA,NA,NA,NA,NA,NA,NA,142.8009,"uva340"
"sa22068.06",1,981,"ASTMG154",1,"9006","PET",94.99,-0.44,1.63,2.77,5.9,0.0791372,0.082908,0.0163887,0.0127219,1213.61,1713.22,2917.5,3385.42,142.8009,"uva340"
"sa22086.06",1,981,"ASTMG154",1,"PURE","PET",91.99,-0.35,1.81,3.27,42.5,0.297625,0.246551,0.0418918,0.0344119,1245.3,1715.08,2915.64,3335.09,142.8009,"uva340"
"sa22071.08",2,2112,"ASTMG154",3,"9006","TPU",96.6,0,0.46,0.86,4.3,NA,NA,NA,NA,NA,NA,NA,NA,307.436800000001,"uva340"
